name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Aidan Denny,K1,500,Men,153.13,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Alec Denny,K1,500,Men,153.91,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Henry Hilt,K1,500,Men,122.83,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Henry Hilt,K1,500,Men,128.04,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Henry Hilt; Miles Cross-Whiter,K2,500,Men,125.93,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Henry Hilt; Miles Cross-Whiter,K2,1000,Men,NA,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Jonathan Barnato,K1,200,Men,52.52,final,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Justin Barker,K1,500,Men,138.48,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Justin Barker,K1,500,Men,151.72,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Kyle Field,K1,200,Men,52.84,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Kyle Field,K1,500,Men,131.13,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Kyle Field,K1,500,Men,138.22,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Miles Cross-Whiter,K1,500,Men,117.99,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Miles Cross-Whiter,K1,500,Men,122.97,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Nate Errez,K1,500,Men,122.59,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Nate Errez,K1,500,Men,125.25,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Nate Errez; Other,K2,500,Men,128.41,NA,NA,NA,Pacific Cup 2013,9,10,2013,yes,NA,NA,NA
Olivia Crocker,C1,500,Women,180.33,final,1st,NA,Pacific Cup 2013,9,23,2013,yes,NA,NA,NA
Olivia Crocker,C1,2000,Women,875,final,1st,NA,Pacific Cup 2013,9,23,2013,yes,NA,NA,NA